Genus,Sizer-6,Sizer-5,Sizer-8,Sizer-4,Sizer-3,Sizer-7,Sizer-2,Sizer-1
Alishewanella,0,0,0,0,1,0,0,0
Frankia,0,0,0,0,1,0,0,0
Defluvibacter,0,0,0,1,0,0,0,0
Bartonella,0,0,0,1,0,0,0,0
Propionicimonas,0,0,0,1,0,0,0,0
Skermanella,0,0,0,1,0,0,0,0
Sharpea,0,0,0,0,0,1,0,0
Thermosipho,0,0,1,0,0,0,0,0
Methylonatrum,0,0,1,0,0,0,0,0
Anaerobacillus,0,0,1,0,0,0,0,0
Rhizobium,0,0,0,0,0,1,0,0
Oscillospira,0,0,1,0,0,0,0,0
Mechercharimyces,0,0,0,0,0,1,0,0
Nannocystis,0,0,0,0,0,1,0,0
Kineococcus,0,1,0,0,0,0,0,0
Arsenophonus,0,0,0,0,0,1,0,0
Nonomuraea,0,0,0,0,0,1,0,0
Flammeovirga,0,0,0,1,0,0,0,0
Ferrimonas,0,0,0,0,0,1,0,0
Marivita,0,0,0,1,0,0,0,0
Thalassospira,0,0,0,1,0,0,0,0
Clavibacter,0,0,0,0,0,1,0,0
Saccharothrix,0,0,0,0,0,1,0,0
Sphaerisporangium,0,0,0,0,0,1,0,0
Catellatospora,0,0,1,0,0,0,0,0
Pigmentiphaga,0,0,0,0,0,1,0,0
Leucothrix,0,0,0,0,0,1,0,0
Thermodesulfatator,0,0,0,0,0,0,0,1
